"PK","CCR","HIERARCHY","INCIDENTTIME","INCIDENTLOCATION","CLEAREDFLAG","INCIDENTNEIGHBORHOOD","INCIDENTZONE","INCIDENTHIERARCHYDESC","OFFENSES","INCIDENTTRACT","COUNCIL_DISTRICT","PUBLIC_WORKS_DIVISION","X","Y"
3065189,19047417,10,"2019-03-11T19:45:00","900 Block Agnew RD Pittsburgh, PA 15227","Y","Carrick","4","SIMPLE ASSAULT/NO INJURY","2702 Aggravated Assault.",2902,5,3,-79.9661926392285,40.4002470237458
3084271,19108603,8,"2019-06-05T04:25:00","1600 Block Creedmoor AV Pittsburgh, PA 15226","N","Brookline","6","ARSON (SINGLE OCC-NOT OCCUPIED","3301 Arson  / 3304 Criminal Mischief.",1918,4,5,-80.0108766652527,40.3881400730952
3011057,18134496,14,"2018-07-15T05:00:00","1400 Block Bellaire PL Pittsburgh, PA 15226","N","Brookline","6","CRIMINAL MISCHIEF (AUTO)","3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another",3206,4,5,-80.0092911,40.39297825
2116117,5157263,5,"2005-08-15T06:00:00","2200 Block WILNER DR PITTSBURGH, PA ","N","East Hills","5","BURGLARY/FORCE ENT/NON-RES","3502 Burglary.",1306,9,2,-79.86682966,40.45338758
2838004,16110976,26,"2016-06-15T20:52:00","100 Block Forbes AV Pittsburgh, PA 15222","N","Golden Triangle/Civic Arena","2","HARRASSMENT-OTHER","2709 Harassment (Non-Specific)",201,6,6,-80.00394607,40.44069712
2108882,5126007,6,"2005-07-06T17:00:00","2300 Block JANE ST PITTSBURGH, PA 15210","N","Highland Park","3","THEFT FROM AUTO","3304 Criminal Mischief. / 3934 Theft from Vehicle",1602,3,4,-79.97318261,40.42645636
2087362,5033642,10,"2005-03-05T11:45:00","2700 Block S 18TH ST PITTSBURGH, PA ","Y","Highland Park","3","SIMPLE ASSAULT/INJURY","2701 Simple Assault.",1703,3,4,-79.98770056,40.41942135
3025452,18175906,14,"2018-09-08T17:00:00","5100 Block Coral ST Pittsburgh, PA 15224","N","Bloomfield","5","CRIM MISCHIEF (GRAFFITI)","3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",809,7,2,-79.94291229,40.46449095
3047270,18245846,99,"2018-12-14T23:50:00","100 Block Merrimac ST Pittsburgh, PA 15211","N","Mount Washington","3",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",1903,2,5,-80.012954270874,40.4353320863097
3093383,19139416,26,"2019-07-15T16:37:00","2300 Block East Hills DR Pittsburgh, PA 15221","Y","East Hills","5","HARRASSMENT-OTHER","2709(a) Harassment.",1306,9,2,-79.871328586779,40.4566162367709
2827325,16076034,14,"2016-04-26T16:02:00","900 Block Allegheny AV Pittsburgh, PA 15233","Y","Manchester","1","CRIMINAL MISCHIEF","3304 Criminal Mischief.",2107,1,1,-80.01883198,40.45154427
3002762,18109530,6,"2018-06-09T07:50:00","1700 Block Pioneer AV Pittsburgh, PA 15226","N","Brookline","6","THEFT FROM AUTO","901 Criminal Attempt",1917,4,5,-80.01509649,40.40724277
2855099,16162835,4,"2016-08-29T22:11:00","900 Block Norfolk ST Pittsburgh, PA 15217","Y","Greenfield","4","AGG ASSAULT/GUN/INJURY","2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person.",1517,5,3,-79.93379126,40.42280416
3073669,19013394,10,"2019-01-21T13:20:00","200 Block Addison ST Pittsburgh, PA 15219","Y","Central Business District","2","RESIST ARREST/OTHER LAW ENFORC","5101 Obstructing Admin. of Law  / 5104 Resisting Arrest or Other Law Enforcement. / 5503 Disorderly Conduct. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License.",201,6,3,-79.9767087002062,40.4421028203366
2849339,16144195,99,"2016-08-03T17:00:00","7000 Block Bennett ST Pittsburgh, PA 15208","Y","Homewood South","5",NA,"9999 Miscellaneous Report (No Crime)",1303,9,2,-79.90140945,40.45730673
2832144,16093593,99,"2016-05-22T04:20:00","800 Block E Warrington AV Pittsburgh, PA 15210","Y","Allentown","3",NA,"9497 Aided Case",1803,3,4,-79.99357756,40.42153188
2858917,16174545,14,"2016-09-01T12:00:00","East Busway & S Millvale AV Pittsburgh, PA 15213","N","Bloomfield","5","CRIM MISCHIEF (GRAFFITI)","3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",804,NA,NA,0,0
2884638,17003775,99,"2017-01-07T03:02:00","N Negley AV & Jackson ST Pittsburgh, PA 15206","N","Highland Park","5",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3746 Immediate Notice of Accident to Police Department",1102,7,2,-79.9257025728932,40.4728131902577
3047348,18246413,4,"2018-12-15T19:45:00","Harbison ST & Shadeland AV Pittsburgh, PA 15212","Y","Brighton Heights","1","AGG ASSAULT/GUN/NO INJURY","2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 2707 Propulsion of Missiles  / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License. / 607.03 Discharging Firearm or Airgun",2703,1,1,-80.0334893876698,40.4772407249093
2826182,16073701,6,"2016-04-23T01:50:00","N Lang AV & Idlewild ST Pittsburgh, PA 15208","N","Homewood North","5","THEFT FROM AUTO","3934 Theft from Vehicle / 3304(a)(1) CRIMINAL MISCHIEF-Prop Damage By Fire, Explosives, or Other Dangerous Means",1301,9,2,-79.89816443,40.45883719
2844699,16130768,99,"2016-07-14T14:35:00","1400 Block Washington BL Pittsburgh, PA 15206","Y","Lincoln-Lemington-Belmar","5",NA,"9999 Miscellaneous Report (No Crime)",1203,9,2,-79.90854001,40.47045991
2948997,17195535,14,"2017-10-09T23:00:00","700 Block Chautauqua CT Pittsburgh, PA 15214","N","Perry South","1","CRIMINAL MISCHIEF (AUTO)","3304 Criminal Mischief.",2614,6,1,-80.0178510669542,40.4638866499636
2999134,18096268,6,"2018-05-22T00:05:00","2700 Block Shelly ST Pittsburgh, PA 15203","N","South Side Slopes","3","THEFT FROM AUTO","4106 Access Device Fraud / 3934 Theft from Vehicle",1608,3,3,-79.96889748,40.42291722
2116372,5159049,99,"2005-08-18T12:15:00","300 Block FORT DUQUESNE BL PITTSBURGH, PA ","Y","Golden Triangle/Civic Arena","2",NA,"9999 Miscellaneous Report (No Crime)",201,6,6,-80.00751649,40.44270103
2859011,16171594,21,"2016-09-11T02:49:00","Penn AV & S Mathilda ST Pittsburgh, PA 15224","Y","Bloomfield","5","DRIVING UNDER INFLUENCE","1543 Driving While Operating Privilege is Suspended or Revoked. / 3112 Traffic-Control Signals. / 3802(a)(1) DUI - General Impairment",809,7,2,-79.94644665,40.46546645
2889597,17018966,14,"2017-01-31T12:30:00","2500 Block Homehurst AV Pittsburgh, PA 15234","N","Overbrook","3","CRIMINAL MISCHIEF","3304 Criminal Mischief.",3207,4,4,-79.9958442566944,40.3804186617145
2141720,5249680,10,"2005-12-22T16:44:00","W ELIZABETH ST & LYTLE ST PITTSBURGH, PA ","Y","Brighton Heights","4","HARRASSMENT/THREAT/ATTEMPT/PHY","2709 Harassment (Non-Specific)",1502,5,3,-79.94532955,40.40674578
3049453,18253996,14,"2018-12-27T20:08:00","1900 Block Rhine ST Pittsburgh, PA 15212","N","Spring Hill-City View","1","CRIMINAL MISCHIEF","3304 Criminal Mischief.",2620,1,1,-79.9920418451489,40.4653596489546
2885576,17000400,99,"2017-01-01T16:30:00","2300 Block Spring Garden AV Pittsburgh, PA 15212","Y","Spring Garden","1",NA,"9497 Aided Case",2412,1,1,-79.9865812443266,40.4715573222876
3043352,18234187,99,"2018-11-28T17:15:00","Arlington AV & E Warrington AV Pittsburgh, PA 15210","N","Allentown","3",NA,"3743 Accidents Involving Damage to Attended Veh. or Property",1803,3,5,-79.992328438651,40.4218162331279
3046299,18243586,99,"2018-12-11T20:35:00","100 Block Carrick AV Pittsburgh, PA 15210","N","Carrick","3",NA,"9496 Dead on Arrival (DOA)",2904,4,3,-79.9823400416051,40.3891883276837
3001290,18101697,99,"2018-05-30T00:17:00","3200 Block Orleans ST Pittsburgh, PA 15214","Y","Perry North","1",NA,"9498 302 (Mental)",2607,1,1,-80.01086896,40.47892063
2934486,17151533,99,"2017-08-11T08:00:00","400 Block Avery ST Pittsburgh, PA 15212","Y","East Allegheny","1",NA,"9497 Aided Case",2304,1,1,-80.0013123158919,40.4528070147391
2926415,17126082,26,"2017-07-06T21:30:00","300 Block S Main ST Pittsburgh, PA 15220","Y","West End","6","PROTECTIVE ORDERS","9093 Indirect Criminal Contempt",2019,7,2,-79.9579443641231,40.4673750344012
2985049,18052561,20,"2018-03-21T16:00:00","600 Block Maytide ST Pittsburgh, PA 15210","Y","Carrick","3","ENDANGER WELFARE OF CHILDREN","4304(a)(1) Endangering Welfare of Children.",2904,4,3,-79.99035706,40.38416835
2806427,16015908,3,"2016-01-27T09:05:00","3500 Block beechwood BL Pittsburgh, PA 15217","N","Greenfield","4","ROBBERY/RESIDENCE/GUN","3502 Burglary. / 3701 Robbery.",1517,5,3,-79.92733494,40.42281362
2851097,16148463,4,"2016-08-09T17:33:00","600 Block Suismon ST Pittsburgh, PA 15212","Y","East Allegheny","1","AGG ASSAULT/STRONGARM/INJURY","2702 Aggravated Assault.",2304,1,1,-79.9996256,40.45542459
3088147,19124329,99,"2019-06-25T15:45:00","4600 Block Butler ST Pittsburgh, PA 15201","N","Central Lawrenceville","2",NA,"1543 Driving While Operating Privilege is Suspended or Revoked. / 1786 Required Financial Responsibility. / 3743 Accidents Involving Damage to Attended Veh. or Property",901,7,2,-79.9580726060591,40.4731090031926
2115566,5152605,5,"2005-08-08T17:10:00","300 Block S AIKEN AV PITTSBURGH, PA ","Y","Bloomfield","5","BURGLARY/FORCE ENT/RES","3502 Burglary.",806,7,2,-79.93792354,40.46177774
3070360,19063799,10,"2019-04-07T14:15:00","1900 Block E Carson ST Pittsburgh, PA 15203","N","South Side Flats","3","HARRASSMENT/THREAT/ATTEMPT/PHY","2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2709(a)(2) Harassment by Following Person in Public Place(s) / 2709(a)(3) Harassment No Legitimate Purpose",1702,3,3,-79.9789683022639,40.4284737765024
2974397,18019899,99,"2018-01-27T16:17:00","Zone 4","Y","","4",NA,"3121 Rape.",NA,NA,NA,NA,NA
2093422,5058964,6,"2005-04-11T17:05:00","5600 Block STANTON AV PITTSBURGH, PA ","Y","Homewood West","5","THEFT/ALL OTHERS","3921 Theft by Unlawful Taking or Disposition.",1109,9,2,-79.9262963,40.47146831
2964295,17241010,99,"2017-12-15T11:30:00","1700 Block Saw Mill Run BL Pittsburgh, PA 15210","Y","Carrick","3",NA,"9999 Miscellaneous Report (No Crime)",2901,4,4,-79.998465431863,40.3960468755476
3012500,18136568,10,"2018-07-18T08:30:00","4500 Block Gates DR Pittsburgh, PA 15207","N","New Homestead","4","TERRORISTIC THREATS","2706 Terroristic Threats.",3103,NA,NA,0,0
2991771,18076528,99,"2018-04-25T11:45:00","PPG PLZ Pittsburgh, PA 15222","Y","Central Business District","2",NA,"9999 Miscellaneous Report (No Crime)",201,6,6,-80.00300501,40.44009257
2812381,16030437,99,"2016-02-19T11:20:00","900 Block E Carson ST Pittsburgh, PA 15203","N","South Side Flats","3",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",1702,3,4,-79.98976989,40.42861965
3072864,19073644,6,"2019-04-20T12:45:00","1200 Block Brownsville RD Pittsburgh, PA 15210","N","Carrick","3","RETAIL THEFT (SHOPLIFTING)","3929 Retail Theft.",2901,4,3,-79.9901999851368,40.4040717030521
2857279,16170006,99,"2016-09-09T06:00:00","2nd AV & Bates ST Pittsburgh, PA 15213","N","South Oakland","4",NA,"3743 Accidents Involving Damage to Attended Veh. or Property",409,3,3,-79.95920278,40.43113569
3041117,18223525,99,"2018-11-12T10:09:00","1900 Block Blvd Of The Allies Pittsburgh, PA 15219","Y","Bluff","2",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",103,6,3,-79.97956213,40.43600897
2918159,17099671,6,"2017-05-26T15:00:00","800 Block Lorenz AV Pittsburgh, PA 15220","N","Elliott","6","THEFT/ALL OTHERS","3921(a) Theft by Unlawful Taking or Disposition - Movable item",2020,2,5,-80.0406889623841,40.4440066026337
3029320,18186689,6,"2018-09-22T09:18:00","100 Block Forbes AV Pittsburgh, PA 15222","N","Central Business District","2","RETAIL THEFT (SHOPLIFTING)","3929 Retail Theft.",201,6,6,-80.00369851,40.44092566
2873613,16214757,5,"2016-10-19T20:00:00","5800 Block Solway ST Pittsburgh, PA 15217","N","Squirrel Hill North","4","BURGLARY/NO FORCE/NON-RES","3502 Burglary. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another",1403,8,3,-79.92356031,40.44282044
2879804,16234111,6,"2016-12-13T16:00:00","4000 Block Penn AV Pittsburgh, PA 15201","N","Central Lawrenceville","2","THEFT/ALL OTHERS","3921(a) Theft by Unlawful Taking or Disposition - Movable item",902,7,2,-79.95790764,40.46513539
2898110,17041286,99,"2017-03-06T22:37:00","300 Block E Agnew AV Pittsburgh, PA 15210","Y","Carrick","3",NA,"9498 302 (Mental)",2902,4,4,-79.982359630961,40.3963456083349
2963802,17241440,6,"2017-12-09T12:00:00","7000 Block Fielding WY Pittsburgh, PA 15208","N","Homewood North","5","THEFT/ALL OTHERS","3921(a) Theft by Unlawful Taking or Disposition - Movable item",1301,9,2,-79.9004948247002,40.4597483000511
2086143,5028930,7,"2005-02-25T17:15:00","2000 Block WATSON AV PITTSBURGH, PA ","N","Carrick","2","MTR VEH THEFT (AUTO)","3921 Theft by Unlawful Taking or Disposition.",102,6,3,-79.97764827,40.4377256
2989552,18064812,6,"2018-04-06T15:30:00","1800 Block Rialto ST Pittsburgh, PA 15212","N","Troy Hill","1","THEFT/ALL OTHERS","3921(a) Theft by Unlawful Taking or Disposition - Movable item",2406,1,1,-79.98230895,40.46675308
