"","PK","CCR","HIERARCHY","INCIDENTTIME","INCIDENTLOCATION","CLEAREDFLAG","INCIDENTNEIGHBORHOOD","INCIDENTZONE","INCIDENTHIERARCHYDESC","OFFENSES","INCIDENTTRACT","COUNCIL_DISTRICT","PUBLIC_WORKS_DIVISION","X","Y"
"11",3080749,19102197,10,"2019-05-28T00:30:00","100 Block Walter ST Pittsburgh, PA 15210","Y","Allentown","3","SIMPLE ASSAULT/INJURY","2701 Simple Assault.",1803,3,5,-79.9947935708787,40.4217697728822
"12",3031095,18196203,14,"2018-10-04T16:00:00","400 Block S Mathilda ST Pittsburgh, PA 15224","N","Bloomfield","5","CRIM MISCHIEF (GRAFFITI)","3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",802,9,2,-79.94576823,40.46777397
"13",3048406,18251039,6,"2018-12-22T08:05:00","5500 Block Howe ST Pittsburgh, PA 15232","N","Shadyside","4","THEFT FROM AUTO","3934 Theft from Vehicle",703,8,2,-79.9331787267846,40.4502272306832
"14",2990937,18072328,99,"2018-04-18T01:30:00","1400 Block Locust ST Pittsburgh, PA 15219","Y","Bluff","2",NA,"9999 Miscellaneous Report (No Crime)",103,6,3,-79.98545539,40.43603601
"15",2928380,17134185,6,"2017-06-23T17:00:00","1300 Block Oakhill ST Pittsburgh, PA 15212","N","Marshall-Shadeland","1","THEFT/PROP-LOST/MISLAID/DEL","3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud",2715,1,1,-80.0312042351833,40.4723160176843
"16",2812060,16022514,99,"2016-02-06T13:10:00","3500 Block Camp ST Pittsburgh, PA 15219","Y","Upper Hill","2",NA,"9496 Dead on Arrival (DOA)",506,6,3,-79.95801423,40.453361
"17",2860776,16178858,5,"2016-09-21T15:31:00","200 Block S Euclid AV Pittsburgh, PA 15206","N","East Liberty","5","BURGLARY/NO FORCE/RES","3502 Burglary.",1115,9,2,-79.92902798,40.46069035
"18",3002216,18106044,99,"2018-05-25T00:05:00","2000 Block Sheraden BL Pittsburgh, PA 15204","N","Sheraden","3",NA,"2701 Simple Assault. / 4304(a)(1) Endangering Welfare of Children.",2022,NA,NA,0,0
"19",2951225,17202179,99,"2017-10-19T13:45:00","700 Block 2nd AV Pittsburgh, PA 15219","Y","Bluff","2",NA,"9497 Aided Case",103,6,6,-79.9943976816139,40.4352681815947
"20",2105810,5110699,99,"2005-06-18T10:00:00","300 Block CONNISTON ST PITTSBURGH, PA ","Y","Bon Air","3",NA,"9489 Found Property",1806,4,4,-79.99942907,40.40769443
"21",2928134,17131905,99,"2017-07-15T00:01:00","4500 Block Butler ST Pittsburgh, PA 15201","N","Central Lawrenceville","2",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",901,7,2,-79.9590029053025,40.4720974327029
"22",2871107,16209651,6,"2016-11-06T16:00:00","4700 Block Mooney RD Pittsburgh, PA 15207","N","Lincoln Place","4","THEFT/ALL OTHERS","3921 Theft by Unlawful Taking or Disposition. / 3503 Criminal Trespass",3102,5,3,-79.92371901,40.37916962
"23",3025746,18177810,6,"2018-09-11T02:40:00","40 Block Ruth ST Pittsburgh, PA 15211","N","Mount Washington","3","THEFT FROM AUTO","3934 Theft from Vehicle",1915,2,5,-80.00533988,40.42569938
"24",2963265,17238402,14,"2017-12-11T14:00:00","7400 Block Penfield CT Pittsburgh, PA 15208","N","Point Breeze North","4","CRIMINAL MISCHIEF","3304 Criminal Mischief.",1405,9,2,-79.8976763204616,40.4487018918298
"25",2914399,17089620,24,"2017-05-17T01:47:00","300 Block Bigham ST Pittsburgh, PA 15211","Y","Mount Washington","3","HARRASSMENT BY COMUN/ADDRESS","2709(a)(3) Harassment No Legitimate Purpose",1903,2,5,-80.0154225400762,40.4329857302477
"26",2921388,17112485,11,"2017-06-18T12:45:00","600 Block S Millvale AV Pittsburgh, PA 15224","Y","Bloomfield","5","BAD CHECKS","4105(a)(1) Bad Checks",804,7,2,-79.9471573371198,40.4587677162751
"27",2119397,5170678,11,"2005-08-16T00:00:00","800 Block FREELAND ST PITTSBURGH, PA 15210","Y","Allentown","3","CREDIT CARDS","4106 Access Device Fraud",1803,3,4,-79.99365785,40.41909568
"28",2826270,16073982,10,"2016-04-23T14:17:00","1600 Block Lowrie ST Pittsburgh, PA 15212","Y","Troy Hill-Herrs Island","1","SIMPLE ASSAULT/INJURY","2701 Simple Assault. / 4304(a)(1) Endangering Welfare of Children. / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession",2406,1,1,-79.98355886,40.46274332
"29",2818867,16053500,10,"2016-03-25T15:00:00","300 Block S Murtland ST Pittsburgh, PA 15208","N","Point Breeze","4","HARRASSMENT/THREAT/ATTEMPT/PHY","2709 Harassment (Non-Specific)",1406,8,3,-79.90743514,40.44885098
"30",3003297,18107505,6,"2018-05-21T09:00:00","5700 Block Forbes AV Pittsburgh, PA 15217","N","Squirrel Hill South","4","THEFT FROM BUILDING","3921(a) Theft by Unlawful Taking or Disposition - Movable item",1413,5,3,-79.92521873,40.43739686
"31",2867130,16199245,9,"2016-10-22T01:00:00","4400 Block Browns Hill RD Pittsburgh, PA 15217","N","Greenfield","1","FORGERY/COUNTERFEITING/OTHER","4101 Forgery.",1517,5,3,-79.92703317,40.41949053
"32",2963371,17238655,24,"2017-12-11T18:00:00","1400 Block Methyl ST Pittsburgh, PA 15216","N","Beechview","6","HARRASSMENT BY COMUN/ADDRESS","2709 Harassment (Non-Specific)",1916,4,5,-80.0260220876426,40.4142133837061
"33",2989475,18065678,14,"2018-04-09T17:48:00","4800 Block Penn AV Pittsburgh, PA 15224","N","Bloomfield","5","CRIM MISCHIEF (GRAFFITI)","3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",809,7,2,-79.94624886,40.46520537
"34",3064894,19045344,26,"2019-03-10T03:36:00","bates ST & mckee PL Pittsburgh, PA 15213","Y","Central Oakland","4","ALL OTHER OFFENSES(EXPT TRAFF)","3323 Stop Signs and Yield Signs. / 627.02(b)(i) Possessing a small amount of marijuana",405,3,3,-79.9555007886063,40.436594269773
"35",2907375,17070727,5,"2017-04-19T20:09:00","1400 Block Dickson ST Pittsburgh, PA 15212","N","Marshall-Shadeland","1","BURGLARY/ATTEMPT/RES","901 Criminal Attempt / 3502 Burglary. / 2709 Harassment (Non-Specific)",2715,1,1,-80.0318866564405,40.4696796079434
"36",2828347,16081379,99,"2016-05-04T12:30:00","Wilkinsburg Wilkinsburg, PA ","Y","Outside City","OSC",NA,"9094 Recovered Stolen Vehicle (OUTSIDE CITY)",5599,NA,NA,0,0
"37",2084870,5024643,3,"2005-02-17T18:50:00","300 Block CEDAR AV PITTSBURGH, PA 15214","Y","South Side Flats","1","ROBBERY CHAIN STORE /STRONGARM","2701 Simple Assault. / 3701 Robbery.",2302,1,1,-80.00084389,40.45089272
"38",2078500,5002506,10,"2005-01-05T16:10:00","200 Block AMBER ST PITTSBURGH, PA ","N","Shadyside","5","TERRORISTIC THREATS","2706 Terroristic Threats. / 2709 Harassment (Non-Specific)",808,9,2,-79.93083804,40.46185808
"39",3090899,19132810,10,"2019-07-06T13:00:00","7100 Block Idlewild ST Pittsburgh, PA 15208","Y","Homewood North","5","HARRASSMENT/THREAT/ATTEMPT/PHY","2709(a) Harassment.",1302,9,2,-79.8981961366599,40.4586745531367
"40",2135760,5231739,14,"2005-11-22T22:05:00","900 Block 2ND AV PITTSBURGH, PA ","Y","St. Clair","2","CRIMINAL MISCHIEF","3304 Criminal Mischief. / 5503 Disorderly Conduct.",102,6,3,-79.99307769,40.4350955
"41",2096666,5072470,18,"2005-04-30T12:43:00","2500 Block CENTRE AV PITTSBURGH, PA ","Y","Middle Hill","2","OPIUM/COCAINE/DERV(SALE/MFG)","13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance",501,6,3,-79.97058741,40.44556158
"42",2948990,17195260,26,"2017-10-09T23:53:00","1200 Block Woods Run AV Pittsburgh, PA 15212","Y","Brighton Heights","1","HARRASSMENT-OTHER","2709(a) Harassment.",2708,1,1,-80.0300607382671,40.47652080181
"43",2833023,16092352,6,"2016-05-20T10:30:00","5000 Block Amberson PL Pittsburgh, PA 15232","N","Shadyside","4","THEFT/ALL OTHERS","3921(a) Theft by Unlawful Taking or Disposition - Movable item",709,8,2,-79.94171729,40.44973753
"44",3045722,18241495,10,"2018-12-08T17:05:00","3400 Block Gass AV Pittsburgh, PA 15212","Y","Brighton Heights","1","SIMPLE ASSAULT/INJURY","2709 Harassment (Non-Specific) / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",2703,1,1,-80.0346721574571,40.4770743333993
"45",3059975,19031446,5,"2019-02-17T11:19:00","100 Block Kilmer ST Pittsburgh, PA 15221","N","East Hills","5","BURGLARY/NO FORCE/RES","2701 Simple Assault. / 3502 Burglary.",1306,9,2,-79.8747283499683,40.4574982923949
"46",3021170,18164697,10,"2018-08-25T13:29:00","3200 Block Motor ST Pittsburgh, PA 15204","Y","Sheraden","6","SIMPLE ASSAULT/INJURY","2701 Simple Assault.",2018,2,5,-80.05530351,40.45798017
"47",2810925,16007743,99,"2016-01-13T16:45:00","Stanton AV & Samantha WY Pittsburgh, PA 15206","N","Highland Park","5",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",1102,7,2,-79.92689162,40.47175015
"48",2985875,18054349,99,"2018-03-24T02:34:00","Tioga ST & Pitt ST Pittsburgh, PA 15221","N","Homewood South","5",NA,"3743 Accidents Involving Damage to Attended Veh. or Property",1304,NA,NA,-79.88457568,40.44930292
"49",3034741,18212502,6,"2018-10-26T14:30:00","300 Block 6th AV Pittsburgh, PA 15222","N","Central Business District","2","RETAIL THEFT (SHOPLIFTING)","3929 Retail Theft.",201,6,6,-79.99945507,40.44165871
"50",2085888,5034292,7,"2005-03-05T16:00:00","4700 Block LIBERTY AV PITTSBURGH, PA ","N","Bloomfield","5","MTR VEH THEFT (AUTO)","3921 Theft by Unlawful Taking or Disposition.",809,7,2,-79.94990411,40.46203965
"51",2904657,17060896,99,"2017-04-05T09:40:00","1300 Block Sarah ST Pittsburgh, PA 15203","Y","South Side Flats","3",NA,"9496 Dead on Arrival (DOA)",1702,3,4,-79.9851297801955,40.427498779273
"52",3090407,19128811,99,"2019-07-01T09:30:00","20 Block Lafferty AV Pittsburgh, PA 15210","N","Beltzhoover","3",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",1809,3,5,-80.0092089953968,40.4169774750931
"53",2964774,17244712,3,"2017-12-20T19:58:00","Windfall WY Pittsburgh, PA 15227","N","Carrick","3","ROBBERY/HIGHWAY/GUN","3701 Robbery.",2904,NA,NA,0,0
"54",3016788,18149725,99,"2018-08-05T02:15:00","Centre AV & Beatty SQ Pittsburgh, PA 15232","N","Shadyside","4",NA,"3743 Accidents Involving Damage to Attended Veh. or Property",705,8,2,-79.92747043,40.45924007
"55",2956087,17215610,26,"2017-11-07T10:55:00","2800 Block Centre AV Pittsburgh, PA 15219","Y","Middle Hill","2","CRIMINAL TRESPASS","9999 Miscellaneous Report (No Crime)",501,6,3,-79.9663491119919,40.4476458890855
"56",2846585,16137266,6,"2016-07-24T11:30:00","90 Block Laclede ST Pittsburgh, PA 15211","N","Mount Washington","3","THEFT FROM AUTO","3934 Theft from Vehicle",1807,3,5,-80.00310638,40.42338993
"57",2897240,17038156,99,"2017-03-02T03:41:00","40 Block Gist ST Pittsburgh, PA 15219","Y","Bluff","2",NA,"4906 False Reports to Law Enforcement Authorities.",103,6,3,-79.9797391636074,40.4362788057546
"58",2971031,18009955,6,"2018-01-16T19:28:00","4400 Block Milgate ST Pittsburgh, PA 15224","N","Bloomfield","5","THEFT/ALL OTHERS","3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",903,7,2,-79.95255231,40.46526363
"59",3066272,19052479,18,"2019-03-20T20:03:00","Mercy ST & Federal EXT Pittsburgh, PA 15214","Y","Fineview","1","OPIUM/COCAINE/DERV(SALE/MFG)","903 Criminal Conspiracy. / 3323 Stop Signs and Yield Signs. / 4524 Windshield Obstructions and Wipers. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance",2509,NA,NA,0,0
"60",2979258,18036303,99,"2018-02-25T01:45:00","Chatham SQ & Forbes AV Pittsburgh, PA 15219","N","Bluff","2",NA,"3743 Accidents Involving Damage to Attended Veh. or Property",103,6,3,-79.99103808,40.4379303
"61",3012555,18138766,99,"2018-07-20T10:00:00","700 Block Mellon ST Pittsburgh, PA 15206","N","East Liberty","5",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",1113,NA,NA,0,0
"62",2956793,17220604,6,"2017-11-14T11:00:00","3700 Block Brighton RD Pittsburgh, PA 15212","N","Brighton Heights","1","THEFT/ALL OTHERS","3921(a) Theft by Unlawful Taking or Disposition - Movable item",2708,1,1,-80.0351947462647,40.4832465550968
"63",2988212,18060192,10,"2018-04-01T20:05:00","5800 Block Penn AV Pittsburgh, PA ","Y","East Liberty","5","TERRORISTIC THREATS","2706 Terroristic Threats.",1115,9,2,-79.92788177,40.46247073
"64",3063558,19041640,14,"2019-03-03T07:00:00","100 Block 52nd ST Pittsburgh, PA 15201","N","Upper Lawrenceville","2","CRIM MISCHIEF (GRAFFITI)","3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",1011,NA,NA,0,0
"65",2975304,18022739,99,"2018-02-04T20:00:00","1400 Block Inverness AV Pittsburgh, PA 15217","Y","Squirrel Hill North","4",NA,"9504 Lost Property",1401,8,3,-79.93120051,40.44169879
"66",2095633,5067752,99,"2005-04-23T17:45:00","2100 Block PARKHILL DR PITTSBURGH, PA ","Y","East Hills","5",NA,"9999 Miscellaneous Report (No Crime)",1306,9,2,-79.8740214,40.45295266
"67",2958592,17224977,99,"2017-11-20T20:35:00","70 Block Holt ST Pittsburgh, PA 15203","Y","South Side Slopes","3",NA,"9496 Dead on Arrival (DOA)",1608,3,4,-79.9712574226653,40.4219662108296
"68",2873848,16217227,4,"2016-11-18T14:52:00","7200 Block Frankstown AV Pittsburgh, PA 15208","Y","Homewood South","5","AGG ASSAULT/OTHER/INJURY","2702 Aggravated Assault.",1303,9,2,-79.89625374,40.45732934
"69",2957925,17224014,99,"2017-11-19T08:34:00","1200 Block Woodbourne AV Pittsburgh, PA 15226","Y","Brookline","6",NA,"9998 Overdose Other",1918,4,4,-80.0162384960627,40.3884570908849
"70",2086476,5029858,99,"2005-02-27T01:30:00","1600 Block SMALLMAN ST PITTSBURGH, PA ","N","Friendship","2",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",202,7,6,-79.98764669,40.44956619
"71",3089869,19056019,10,"2019-03-26T16:05:00","800 Block RECTENWALD ST PITTSBURGH, PA 1","Y","Mount Oliver","3","HARRASSMENT/THREAT/ATTEMPT/PHY","2706 Terroristic Threats. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1607,NA,NA,0,0
"72",2998072,18087379,26,"2018-05-10T16:25:00","Bedford AV & Washington PL Pittsburgh, PA 15219","Y","Central Business District","2","ALL OTHER OFFENSES(EXPT TRAFF)","602.04(b)(1)(a) Panhandling-Hindrance to traffic: Intentionally block, obstruct, or interfere with Orderly flow of vehicles or pedestrians",201,6,6,-79.99203417,40.44165293
"73",3010456,18132117,6,"2018-07-12T05:40:00","50 Block Garetta ST Pittsburgh, PA 15217","N","Squirrel Hill South","4","THEFT/ALL OTHERS","3502 Burglary.",1414,NA,NA,0,0
"74",3071127,19067800,99,"2019-04-12T20:12:00","100 Block 42nd ST Pittsburgh, PA 15201","Y","Central Lawrenceville","2",NA,"9497 Aided Case",901,NA,NA,0,0
"75",2079473,5005372,99,"2005-01-10T23:19:00","300 Block BECKS RUN RD PITTSBURGH, PA ","Y","Squirrel Hill North","3",NA,"9496 Dead on Arrival (DOA)",2903,4,4,-79.97994038,40.39341804
"76",3067148,19055455,6,"2019-02-18T00:01:00","2600 Block Glen Mawr ST Pittsburgh, PA 15204","N","Sheraden","6","THEFT/ALL OTHERS","3921 Theft by Unlawful Taking or Disposition.",2018,2,5,-80.0465352614601,40.4522845136396
"77",3061384,19037038,4,"2019-02-25T15:22:00","2900 Block Merwyn AV Pittsburgh, PA 15204","Y","Sheraden","6","AGG ASSAULT/GUN/NO INJURY","2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 607.03 Discharging Firearm or Airgun",2018,2,5,-80.0504243954382,40.4557296131699
"78",2129604,5209013,16,"2005-10-21T05:00:00","HEMLOCK ST & FEDERAL ST PITTSBURGH, PA ","Y","Knoxville","1","PROSTITUTION RELATED OFFENSES","5902(a)(1) Prostitution ",2203,1,1,-80.0072265,40.45727922
"79",3088057,19126468,99,"2019-06-28T09:00:00","1000 Block Stoneville ST Pittsburgh, PA 15221","Y","Homewood North","5",NA,"9496 Dead on Arrival (DOA)",1301,9,2,-79.8797396548704,40.4566955627001
"80",3059761,19030527,11,"2019-02-15T23:55:00","1600 Block E Carson ST Pittsburgh, PA 15203","Y","South Side Flats","3","THEFT OF SERVICES","3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc.",1702,3,3,-79.9826498409866,40.428754714415
"81",2117724,5156573,10,"2005-08-14T02:45:00","5400 Block COLUMBO ST PITTSBURGH, PA ","Y","Shadyside","5","SIMPLE ASSAULT/NO INJURY","2701 Simple Assault. / 2706 Terroristic Threats.",1104,9,2,-79.93401278,40.46860963
"82",2092700,5054281,10,"2005-04-05T18:27:00","PENN AV & N LANG AV PITTSBURGH, PA ","Y","Point Breeze North","4","RECKLESS-ENDANGER/DRIVEBY","2701 Simple Assault. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License.",1405,9,3,-79.90376133,40.44999795
"83",2922931,17117812,15,"2017-06-25T20:44:00","Bennett ST & Durango WY Pittsburgh, PA 15221","Y","Homewood South","5","CONVICT NOT TO OWN/MAN/USE/SELL FIREARMS","6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 4303 General Lighting Requirements. / 13(a)(31) Marijuana: Possession Small Amount",1304,9,2,-79.8890238659734,40.4547260022067
"84",2921076,17112711,6,"2017-06-18T19:50:00","800 Block Gearing AV Pittsburgh, PA 15210","N","Beltzhoover","3","THEFT FROM AUTO","3921 Theft by Unlawful Taking or Disposition.",1809,3,4,-80.0051235334253,40.4157051555904
"85",2815349,16037776,14,"2016-03-01T12:00:00","24th ST & Smallman ST Pittsburgh, PA 15222","Y","Strip District","2","CRIM MISCHIEF (GRAFFITI)","3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",203,7,6,-79.98148238,40.45406256
"86",2091497,5050467,6,"2005-03-31T07:30:00","200 Block CLIFFVIEW RD PITTSBURGH, PA ","N","Central Northside","1","THEFT FROM AUTO","3934 Theft from Vehicle",2702,1,1,-80.03940831,40.49000716
"87",2832172,16091971,10,"2016-05-19T20:56:00","400 Block Natchez ST Pittsburgh, PA 15211","N","Mount Washington","3","SIMPLE ASSAULT/INJURY","2701 Simple Assault. / 2706 Terroristic Threats.",1914,2,5,-80.01208567,40.4286994
"88",3079231,19092297,99,"2019-05-15T10:55:00","4900 Block Wallingford ST Pittsburgh, PA 15213","Y","Shadyside","4",NA,"9999 Miscellaneous Report (No Crime)",709,NA,NA,0,0
"89",3024940,18173430,99,"2018-09-05T14:00:00","Ridgeway ST & Blessing ST Pittsburgh, PA 15213","N","Upper Hill","2",NA,"3743 Accidents Involving Damage to Attended Veh. or Property",506,6,3,-79.95708396,40.45832215
"90",2981734,18042609,6,"2018-03-06T00:01:00","4700 Block 5th AV Pittsburgh, PA 15213","N","Squirrel Hill North","4","THEFT/ALL OTHERS","3921 Theft by Unlawful Taking or Disposition.",1401,8,3,-79.94674497,40.4468628
"91",2949866,17198962,7,"2017-10-14T20:00:00","100 Block Clairtonica ST Pittsburgh, PA 15205","N","Crafton Heights","6","MTR VEH THEFT (AUTO)","3921(a) Theft by Unlawful Taking or Disposition - Movable item",2815,2,5,-80.0565607393753,40.4390481895533
"92",2815425,16038002,3,"2016-03-01T19:05:00","300 Block Riota WY Pittsburgh, PA 15210","Y","Carrick","3","ROBBERY/HIGHWAY/STRONGARM","3701 Robbery.",2901,4,4,-79.99143429,40.39574582
"93",3016971,18150230,99,"2018-08-05T21:40:00","Brighton RD & Lecky AV Pittsburgh, PA 15212","Y","Marshall-Shadeland","1",NA,"1501 Drivers Required to be Licensed. / 1786 Required Financial Responsibility.",2715,1,1,-80.03156652,40.47609864
"94",2998137,18094550,6,"2018-05-20T10:00:00","5200 Block Wilkins AV Pittsburgh, PA 15217","N","Squirrel Hill North","4","THEFT FROM AUTO","3934 Theft from Vehicle",1402,8,3,-79.93728861,40.44773298
"95",2840979,16115431,13,"2016-06-22T06:32:00","40 Block Woodland RD Pittsburgh, PA 15232","Y","Squirrel Hill North","4","RECEIVING STOLEN PROPERTY","3925 Receiving Stolen Property. / 3743 Accidents Involving Damage to Attended Veh. or Property",1402,8,3,-79.92422387,40.45059988
"96",2094519,5062747,9,"2005-04-11T15:00:00","5400 Block BAUM BL PITTSBURGH, PA ","N","Bloomfield","5","FORGERY/COUNTERFEITING/OTHER","4101 Forgery.",806,7,2,-79.9384867,40.45688935
"97",3031347,18197649,14,"2018-10-01T08:00:00","Princeton PL & Station ST Pittsburgh, PA 15206","N","East Liberty","5","CRIM MISCHIEF (GRAFFITI)","9130 Graffiti Investigation",1115,9,2,-79.92023101,40.46246096
"98",3035232,18211551,14,"2018-10-25T09:00:00","500 Block Brookline BL Pittsburgh, PA 15226","N","Brookline","6","CRIMINAL MISCHIEF","3304 Criminal Mischief.",1919,4,5,-80.02363456,40.39622106
"99",2841686,16120092,7,"2016-06-28T19:05:00","5500 Block Margaretta ST Pittsburgh, PA 15206","Y","Garfield","5","MTR VEH THEFT (AUTO)","3925 Receiving Stolen Property. / 3733 Fleeing or Attempting to Elude Police Officer / 3736 Reckless Driving",1114,9,2,-79.93016028,40.46837078
"100",2936871,17161067,21,"2017-08-24T04:50:00","300 Block Virginia AV Pittsburgh, PA 15211","Y","Mount Washington","3","DRIVING UNDER INFLUENCE","3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3802(a)(1) DUI - General Impairment / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16%",1903,2,5,-80.0107873405379,40.4314418828549
"101",2944708,17184712,99,"2017-09-25T15:00:00","Soho ST & Centre AV Pittsburgh, PA 15219","Y","Middle Hill","2",NA,"9489 Found Property",501,6,3,-79.9739840269741,40.4452020230548
"102",2934542,17153026,14,"2017-08-13T11:09:00","2200 Block East Hills DR Pittsburgh, PA 15221","Y","East Hills","5","CRIMINAL MISCHIEF (AUTO)","3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another",1306,9,2,-79.8730298776944,40.4538810931386
"103",2933650,17147525,10,"2017-08-05T16:55:00","Paulson AV & Brainard ST Pittsburgh, PA 15206","N","Lincoln-Lemington-Belmar","5","SIMPLE ASSAULT/INJURY","2701 Simple Assault.",1203,9,2,-79.9017948952684,40.4686325796479
"104",2079990,5008557,2,"2005-01-13T06:00:00","Zone 4","N","","4","RAPE BY FORCE","3121 Rape.",NA,NA,NA,NA,NA
"105",2110649,5130998,15,"2005-07-12T23:55:00","FRANKSTOWN AV & INWOOD ST PITTSBURGH, PA ","Y","Homewood West","5","CONVICT NOT TO OWN/MAN/USE/SELL FIREARMS","6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6106 Firearms not to be Carried without a License. / 1501 Drivers Required to be Licensed. / 3334 Turning Movements and Required Signals. / 3733 Fleeing or Attempting to Elude Police Officer / 4914 False Identification to Law Enforcement Authorities",1207,9,2,-79.904994,40.45814923
"106",3012175,18133629,99,"2018-07-14T01:40:00","100 Block Maywood ST Pittsburgh, PA 15214","N","Perry South","1",NA,"3745 Accidents Involving Damage to Unattended Veh.or Prop.",2614,NA,NA,0,0
"107",2960098,17230193,6,"2017-11-28T17:00:00","2100 Block Rhine ST Pittsburgh, PA 15212","N","Spring Hill-City View","1","THEFT/ALL OTHERS","3921 Theft by Unlawful Taking or Disposition.",2620,1,1,-79.9936768740834,40.4666167568299
